DistJardas,QuedaPol,
0,78.74,0
0.213435882,79.00245285,0.262452846
4.259072581,78.93547325,0.195473251
11.25952061,78.93547325,0.195473251
23.70476155,78.80151406,0.06151406
32.35809314,78.53359568,-0.206404321
35.0804896,78.39963649,-0.340363512
39.45576961,78.13171811,-0.608281893
42.85645161,77.87555556,-0.864444444
46.68870968,77.39555556,-1.344444444
50.52096774,76.91555556,-1.824444444
54.22841954,76.48549969,-2.25450031
58.14412507,75.82935444,-2.910645562
61.26610651,75.42837678,-3.311623215
64.03532168,74.90589075,-3.834109249
67.32108745,74.30876386,-4.431236144
69.64430528,73.8973712,-4.842628802
72.96030816,73.20477343,-5.535226567
75.88826816,72.57292986,-6.167070143
78.78095152,71.92893544,-6.811064556
81.39142188,71.30924271,-7.430757294
85.0249144,70.39792986,-8.342070143
87.77649126,69.68103042,-9.058969584
91.02194089,68.83047176,-9.909528243
94.02045414,67.95561142,-10.78438858
97.06306316,67.0534117,-11.6865883
102.0282483,65.50114215,-13.23885785
105.8204857,64.237455,-14.502545
109.4187016,62.96161701,-15.77838299
112.1526401,62.02600248,-16.71399752
115.7684943,60.62865611,-18.11134389
118.2907731,59.64443824,-19.09556176
121.8537124,58.24709187,-20.49290813
124.9227789,56.97125388,-21.76874612
128.7024174,55.32221158,-23.41778842
131.237295,54.22516449,-24.51483551
133.8124887,53.0100807,-25.7299193
136.7051721,51.62488516,-27.11511484
140.49153,49.85896338,-28.88103662
143.1607947,48.52642148,-30.21357852
146.2157506,46.95896338,-31.78103662
149.8457154,45.06343265,-33.67656735
153.6732294,42.99779019,-35.74220981
156.4600829,41.41818125,-37.32181875
159.2539917,39.69762259,-39.04237741
162.7305032,37.7547036,-40.9852964
165.7731123,35.90656114,-42.83343886
169.477158,33.58089075,-45.15910925
172.5815012,31.66105835,-47.07894165
175.1919715,29.97209187,-48.76790813
178.543251,27.76063935,-50.97936065
181.3754602,25.82692028,-52.91307972
183.7641917,24.15791589,-54.58208411
186.5686835,22.15302762,-56.58697238
191.2025204,18.81762259,-59.92237741
194.4177329,16.43605835,-62.30394165
198.1147234,13.56846058,-65.17153942
200.7498874,11.49066729,-67.24933271
203.1310597,9.631589075,-69.10841092
205.3534871,7.808963377,-70.93103662
208.5283835,5.257287399,-73.4827126
210.7719769,3.361756673,-75.37824333
213.343643,1.174605835,-77.56539417
